ward_code,min_lon,min_lat,max_lon,max_lat
OYSEGA05,4.0369,7.430598,4.053999,7.450533
10403,11.572779,10.520815,11.632366,10.593869
KD0711,8.292068,9.562077,8.333796,9.612365
DTSAYB04,6.227989,6.129996,6.274163,6.201706
DTSALA06,5.784246,5.512548,5.850958,5.561961
DTSALA09,5.768995,5.475856,5.802905,5.523656
DTSBMA09,5.725292,5.297053,5.818174,5.358774
ABSHAF01,7.741013,5.682525,7.808462,5.735826
OSSICL01,4.468665,7.475796,4.538285,7.520379
10109,13.257926,13.615233,13.333412,13.69753
OSSAYE03,4.212935,7.596328,4.254619,7.621214
OYSAKE07,3.937323,7.552583,3.98602,7.600428
KD0712,8.241031,9.536595,8.345994,9.583304
KD2201,8.114566,9.587665,8.298911,9.772525
ANSZBL03,6.842525,5.937186,6.873019,5.968456
KD2204,8.021844,9.654873,8.187182,9.887005
KD0410,7.205604,10.693756,7.576463,10.941955
KD0402,7.505088,10.721512,7.621469,10.923198
KD0407,7.450979,10.590544,7.645555,10.792391
BA0813,10.335592,10.702136,10.51636,10.918808
BA1817,9.309917,10.201576,9.591571,10.629531
60201,5.129514,12.754951,5.199068,12.811889
BA0517,10.419405,10.736967,10.586874,10.967343
BA0806,10.074713,10.484297,10.315277,10.771263
61308,6.226787,13.465694,6.558644,13.679041
BA0810,9.991514,10.426555,10.220138,10.662186
BA0805,10.179423,10.438566,10.382487,10.773815
AKSABK08,7.710745,5.013567,7.763786,5.076476
11402,12.571582,11.532035,12.744731,11.775944
BA1805,9.225329,10.239192,9.696159,10.787433
BA1712,9.503819,9.747327,9.642822,9.911127
BA0613,9.37657,10.010061,9.488392,10.069454
BA0611,9.502369,9.949455,9.605557,10.034106
BA1711,9.545573,9.817297,9.776732,9.942607
BA0604,9.501916,9.872688,9.684414,9.986389
BA1716,9.418861,9.736267,9.592055,9.836342
BA0612,9.440739,9.901029,9.498746,9.987734
ANSZBL04,6.850631,5.959337,6.878001,5.99018
KWSBDU06,4.524136,8.780103,4.72282,9.084342
BA0609,9.442094,9.895814,9.536215,10.026837
BA1707,9.670305,9.688056,9.856354,9.940132
60609,4.444793,13.588455,4.80789,13.768726
BA1713,9.588305,9.688272,9.792109,9.83651
BA1811,9.21429,9.846145,9.374356,10.092904
BA0610,9.346362,9.994308,9.428921,10.07679
BA1813,9.149766,10.0301,9.393252,10.201576
BA1703,9.28429,9.590166,9.432793,9.731712
BA1715,9.235776,9.680388,9.390892,9.832532
BA1706,9.331721,9.726625,9.536077,9.910705
BA1701,9.263111,9.777631,9.414021,9.906223
BA1704,9.37653,9.591551,9.509856,9.728826
BA1705,9.304032,9.472712,9.589922,9.598941
BA0304,9.477463,9.509768,9.579221,9.610019
BA0309,9.40461,9.537299,9.488758,9.655858
BA0301,9.624853,9.52247,9.710363,9.633446
BA0312,9.546107,9.521903,9.656274,9.651863
BA0303,9.57644,9.610913,9.724552,9.737136
BA0306,9.661777,9.543657,9.727112,9.658416
BA0310,9.682722,9.605591,9.807112,9.707692
BA1714,9.822414,9.736538,9.924086,9.857854
BA1710,9.794657,9.579996,9.991656,9.75857
BA1803,9.036708,10.047757,9.217222,10.172795
BA1801,9.006736,10.01536,9.168116,10.082468
BA1812,8.968092,10.096806,9.065654,10.167928
BA1802,8.938686,9.987416,9.044658,10.104665
BA0113,10.764851,9.761548,10.94542,10.006736
BA0109,10.868889,9.710163,10.981629,9.880443
BA0118,10.726498,9.64545,10.849754,9.761548
BA0110,10.8034,9.67652,10.910419,9.802566
BA0111,10.6939,9.447322,10.989895,9.727316
BA0210,10.048105,10.089897,10.279952,10.314253
BA0103,10.093857,9.980172,10.294425,10.148577
BA0114,10.177927,10.078953,10.34019,10.231787
KGSDAH05,6.714949,7.107531,6.739386,7.123734
OYSSUR04,4.373435,7.888441,4.447655,7.962563
OYSSUR05,4.434558,7.942826,4.568998,8.103654
OYSSUR10,4.332231,7.921849,4.416672,8.001733
OYSSUR09,4.284803,7.962316,4.345109,8.057098
OYSSUR02,4.316608,8.106086,4.460923,8.291638
OYSSUR03,4.279698,8.180741,4.40233,8.304003
70908,10.962321,12.19668,11.191797,12.437435
OYSSUR08,4.380664,8.13245,4.494078,8.229603
OYSSUR06,4.346627,8.053373,4.50432,8.152776
OYSSUR07,4.299391,7.986712,4.435183,8.114524
OYSSUR01,4.381011,7.93562,4.496766,8.04784
BA0807,9.784815,10.790778,9.944576,11.029884
ANSZBL06,6.844012,6.009954,6.876122,6.05796
EDSGAR02,6.031825,7.182595,6.178632,7.424608
50906,4.717086,11.57113,4.93913,11.7669
BA0801,9.927036,10.755673,10.395842,11.107307
KGSDAH10,6.736388,7.101212,6.793682,7.126792
RVSBRR15,7.369009,4.675094,7.424874,4.722562
RVSBRR06,7.341188,4.596334,7.384999,4.638118
OSSODN10,4.596837,7.983713,4.655434,8.018952
RVSBRR01,7.327224,4.724045,7.398645,4.782141
RVSBRR05,7.422713,4.730135,7.497264,4.797116
BA0816,9.657903,10.656358,9.9323,10.866526
BA0808,9.870301,10.781854,10.080695,10.991568
BA0803,9.68262,10.64284,9.854308,10.751832
BNSBRT08,8.248935,7.055093,8.34168,7.130145
ABSHAF15,7.833195,5.584148,7.90999,5.634348
CRSEFE07,8.844274,5.896515,8.991571,6.019249
BA0502,10.258921,10.867778,10.435011,10.959732
BA0501,10.398468,10.938142,10.53333,11.064382
BA0512,10.322329,10.927613,10.427788,11.094835
BA1907,9.714878,11.144069,9.791759,11.213339
RVSNDN08,7.332485,4.5441,7.42565,4.583013
RVSNDN02,7.416749,4.509184,7.465207,4.546602
RVSNDN01,7.344026,4.478349,7.441109,4.538558
KWSBDU08,4.29299,8.727064,4.466067,9.046799
RVSNDN04,7.411528,4.480954,7.48356,4.516772
RVSNDN09,7.420701,4.541697,7.476528,4.590239
BA1910,9.730019,11.141884,9.783967,11.179117
BA1518,9.054871,10.802869,9.216634,11.002169
BA1509,8.997198,10.695397,9.2714,10.981676
BA1506,9.178647,10.722,9.556062,11.183777
CRSTGD06,8.037206,5.836549,8.083869,5.906648
OYSIDO05,3.783111,7.419333,3.82492,7.448892
OSSEGO02,4.075077,7.814172,4.130825,7.863727
BA1901,9.740114,11.008492,9.859182,11.172992
DTSAYB01,6.306624,6.230999,6.375342,6.288491
CRSEFE01,8.574396,5.638235,8.707736,5.832309
KWSBDU17,4.401933,8.638595,4.547703,8.91746
BA0804,9.417511,10.689035,9.810413,10.97516
CRSTGD07,7.932018,5.768327,7.993984,5.846331
CRSUDU02,8.952534,6.607106,8.992668,6.689751
12304,13.56113,12.471099,13.669563,12.56339
BNSGMU08,8.07204,6.896065,8.197483,6.986171
12112,13.787094,12.215042,13.88413,12.322498
OSSODN08,4.589778,7.967423,4.645838,7.997413
RVSBRR11,7.451098,4.60282,7.525932,4.66377
ANSJJT12,6.854208,6.048859,6.91424,6.099188
EBSNKE16,8.02976,6.070689,8.094059,6.121044
KWSBDU03,4.340948,8.567003,4.473515,8.743868
BA0814,9.594157,10.546634,9.819616,10.774863
RVSSKN01,7.253107,4.694644,7.291033,4.754776
RVSSKN02,7.287899,4.703079,7.316313,4.737693
KGSDAH06,6.690095,7.054559,6.732526,7.103156
BNSWDP02,9.316842,6.899889,9.544456,7.083548
OGSADO04,2.930803,6.598114,3.079947,6.686658
OYSOSO10,4.133508,8.744962,4.15707,8.766893
BA1607,10.016203,11.486863,10.151839,11.609436
